therefore,2234
because,2235
ratio,2236
proportional,2237,s_operator
nsubset,2284
nsupset,2285
nsubseteq,2288
nsupseteq,2289,s_ordinary
langle,2329
rangle,232A
bra,27E8
ket,27E9
nexists,2204,s_operator
nin,2209
nni,220C
ring,2218
deg,00B0,s_ordinary
anglert,221F
thorn,FE
Thorn,DE
eth,F0
Eth,D0


